Macro-secteur;Filière;Détail ;Année;Marchés d'investissements intérieurs (M€);Marché - Fabrication des équipements en France pour marché intérieur (M€);Marché - Importation des équipements (M€);Marché - Vente et distribution des équipements (M€);Marché - Construction, installation, raccordement (M€);Marché - Montage de projets, études, DPE (M€);Marché - Exploitation-maintenance, vente intérieure d'énergie (M€);Marché - Exportation (équipements et/ou biocarburants) (M€);Marché - Total (M€);Emplois liés aux investissements;Emploi - Fabrication des équipements pour marché intérieur (ETP);Emploi - Vente et distribution des équipements (ETP);Emploi - Construction, installation, raccordement (ETP);Emploi - Montage de projets, études, DPE (ETP);Emploi - Exploitation-maintenance, vente intérieure d'énergie (ETP);Emploi - Exportations (équipements et/ou biocarburants) (ETP);Emploi - Total (ETP)
EnR&R;Biocarburants essence;;2022;0;0;0;0;0;0;1 518;461;1 979;0;0;0;0;0;1 290;130;1 420
EnR&R;Biocarburants gazole;;2006;109;44;0;0;54;11;509;57;675;640;230;0;340;70;260;30;930
EnR&R;Biocarburants gazole;;2007;178;71;0;0;89;18;1 002;18;1 198;1 030;380;0;540;110;440;10;1 480
EnR&R;Biocarburants gazole;;2008;116;46;0;0;58;12;2 079;23;2 218;660;260;0;340;60;820;10;1 490
EnR&R;Biocarburants gazole;;2009;12;5;0;0;6;1;1 596;79;1 687;70;30;0;30;10;940;50;1 060
EnR&R;Biocarburants gazole;;2010;0;0;0;0;0;0;1 861;14;1 875;0;0;0;0;0;970;10;980
EnR&R;Biocarburants gazole;;2011;0;0;0;0;0;0;2 500;53;2 553;0;0;0;0;0;960;30;990
EnR&R;Biocarburants gazole;;2012;20;8;0;0;10;2;2 617;38;2 675;100;40;0;50;10;1 120;20;1 240
EnR&R;Biocarburants gazole;;2013;20;8;0;0;10;2;2 360;46;2 426;100;40;0;50;10;1 090;30;1 220
EnR&R;Biocarburants gazole;;2014;0;0;0;0;0;0;2 258;71;2 329;0;0;0;0;0;1 120;50;1 170
EnR&R;Biocarburants gazole;;2015;13;5;0;0;7;1;2 080;108;2 201;60;20;0;30;10;1 110;80;1 250
EnR&R;Biocarburants gazole;;2016;0;0;0;0;0;0;2 265;172;2 437;0;0;0;0;0;960;120;1 080
EnR&R;Biocarburants gazole;;2017;38;15;0;0;19;4;2 452;304;2 794;170;70;0;80;20;920;210;1 300
EnR&R;Biocarburants gazole;;2018;38;15;0;0;19;4;2 336;501;2 875;160;60;0;80;20;790;330;1 280
EnR&R;Biocarburants gazole;;2019;38;15;0;0;19;4;2 267;529;2 834;180;70;0;90;20;400;360;940
EnR&R;Biocarburants gazole;;2020;0;0;0;0;0;0;1 832;482;2 314;0;0;0;0;0;530;330;860
EnR&R;Biocarburants gazole;;2021;22;9;0;0;11;2;2 312;686;3 020;100;40;0;50;10;210;390;700
EnR&R;Biocarburants gazole;;2022;22;9;0;0;11;2;3 164;818;4 004;100;40;0;50;10;270;350;720
EnR&R;Solaire thermique;Métropole et DOM;2006;341;72;69;13;183;4;25;112;478;3 520;330;140;3 030;20;210;510;4 240
EnR&R;Solaire thermique;Métropole et DOM;2007;363;85;66;12;192;8;32;98;493;3 770;410;140;3 180;40;270;470;4 510
EnR&R;Solaire thermique;Métropole et DOM;2008;443;102;82;15;233;11;41;134;618;4 210;390;170;3 590;60;350;510;5 070
EnR&R;Solaire thermique;Métropole et DOM;2009;336;60;79;12;175;10;46;118;500;3 000;270;140;2 520;70;380;520;3 900
EnR&R;Solaire thermique;Métropole et DOM;2010;310;48;80;11;161;10;50;100;460;2 730;220;110;2 330;70;420;450;3 600
EnR&R;Solaire thermique;Métropole et DOM;2011;315;73;61;8;159;14;55;110;480;2 820;350;80;2 290;100;460;530;3 810
EnR&R;Solaire thermique;Métropole et DOM;2012;367;106;54;5;179;23;56;117;540;3 280;480;30;2 610;160;470;530;4 280
EnR&R;Solaire thermique;Métropole et DOM;2013;281;73;50;3;140;15;58;110;449;2 520;350;30;2 040;100;490;520;3 530
EnR&R;Solaire thermique;Métropole et DOM;2014;236;60;44;2;117;13;64;104;404;2 110;320;20;1 680;90;520;540;3 170
EnR&R;Solaire thermique;Métropole et DOM;2015;190;29;48;2;101;10;69;100;359;1 590;160;20;1 340;70;560;550;2 700
EnR&R;Solaire thermique;Métropole et DOM;2016;166;18;48;2;89;9;72;101;339;1 240;100;20;1 070;50;590;530;2 360
EnR&R;Solaire thermique;Métropole et DOM;2017;148;15;41;4;84;4;75;97;320;1 150;80;30;1 010;30;610;490;2 250
EnR&R;Solaire thermique;Métropole et DOM;2018;177;18;47;5;105;2;80;85;342;1 360;80;50;1 210;20;650;390;2 400
EnR&R;Solaire thermique;Métropole et DOM;2019;150;15;39;5;89;2;84;98;332;1 090;60;50;970;10;690;420;2 200
EnR&R;Solaire thermique;Métropole et DOM;2020;195;19;51;7;115;3;87;114;396;1 490;80;60;1 330;20;710;470;2 670
EnR&R;Solaire thermique;Métropole et DOM;2021;198;19;52;7;118;2;93;121;412;1 450;80;60;1 300;10;760;490;2 700
EnR&R;Solaire thermique;Métropole et DOM;2022;241;24;63;8;144;2;100;120;461;1 770;100;70;1 590;10;820;490;3 080
EnR&R;Solaire photovoltaïque;;2006;126;30;72;0;18;6;1;102;229;950;130;0;790;30;0;450;1 400
EnR&R;Solaire photovoltaïque;;2007;303;62;169;0;57;15;4;117;424;2 120;240;0;1 810;70;0;450;2 570
