Macro-secteur;Filière;Détail ;Année;Marchés d'investissements intérieurs (M€);Marché - Fabrication des équipements en France pour marché intérieur (M€);Marché - Importation des équipements (M€);Marché - Vente et distribution des équipements (M€);Marché - Construction, installation, raccordement (M€);Marché - Montage de projets, études, DPE (M€);Marché - Exploitation-maintenance, vente intérieure d'énergie (M€);Marché - Exportation (équipements et/ou biocarburants) (M€);Marché - Total (M€);Emplois liés aux investissements;Emploi - Fabrication des équipements pour marché intérieur (ETP);Emploi - Vente et distribution des équipements (ETP);Emploi - Construction, installation, raccordement (ETP);Emploi - Montage de projets, études, DPE (ETP);Emploi - Exploitation-maintenance, vente intérieure d'énergie (ETP);Emploi - Exportations (équipements et/ou biocarburants) (ETP);Emploi - Total (ETP)
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2016;1 056;186;174;346;350;0;171;0;1 227;7 290;1 280;3 090;2 920;0;1 430;0;8 720
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2017;1 330;240;198;449;443;0;190;0;1 520;9 630;1 620;4 320;3 690;0;1 580;0;11 210
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2018;1 652;243;249;561;599;0;214;0;1 866;11 910;1 480;5 440;4 990;0;1 790;0;13 700
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2019;3 098;427;511;1 053;1 107;0;257;0;3 355;21 830;2 830;9 780;9 220;0;2 140;0;23 970
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2020;3 423;386;593;1 156;1 288;0;302;0;3 725;24 670;2 590;11 350;10 730;0;2 520;0;27 190
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2021;4 998;510;824;1 705;1 959;0;364;0;5 362;34 490;2 830;15 340;16 320;0;3 030;0;37 520
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2022;6 733;1 461;393;2 436;2 443;0;437;0;7 170;49 370;7 100;21 920;20 350;0;3 640;0;53 010
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2006;37;5;1;8;23;0;1;0;38;240;30;70;140;0;10;0;250
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2007;104;9;10;22;63;0;1;0;105;660;50;220;390;0;10;0;670
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2008;171;27;7;36;101;0;2;0;173;1 150;120;410;620;0;20;0;1 170
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2009;159;36;5;32;86;0;4;0;163;1 230;190;490;550;0;30;0;1 260
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2010;89;14;13;17;45;0;4;0;93;690;90;300;300;0;30;0;720
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2011;82;11;11;17;43;0;5;0;87;590;70;240;280;0;40;0;630
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2012;42;6;5;9;22;0;5;0;47;300;40;120;140;0;40;0;340
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2013;45;6;5;10;24;0;6;0;51;260;40;100;120;0;50;0;310
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2014;23;2;3;5;13;0;6;0;29;140;20;50;70;0;50;0;190
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2015;23;4;4;4;11;0;6;0;29;120;30;40;50;0;50;0;170
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2016;24;4;3;5;12;0;6;0;30;130;30;40;60;0;50;0;180
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2017;16;3;2;3;8;0;6;0;22;90;20;30;40;0;50;0;140
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2018;27;6;6;4;11;0;6;0;33;110;30;30;50;0;50;0;160
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2019;31;5;6;5;15;0;6;0;37;150;30;50;70;0;50;0;200
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2020;30;4;7;5;14;0;7;0;37;150;30;50;70;0;50;0;200
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2021;35;5;8;6;16;0;7;0;42;150;30;50;70;0;60;0;210
Bâtiment;Géothermie de surface assistée par PAC;En rénovation, dans le résidentiel;2022;42;11;3;8;20;0;7;0;49;210;50;70;90;0;60;0;270
Bâtiment;Isolation des parois opaques;Maisons individuelles;2006;3 422;390;206;388;2 438;0;0;125;3 547;30 300;1 440;4 370;24 490;0;0;460;30 760
Bâtiment;Isolation des parois opaques;Maisons individuelles;2007;3 968;437;238;420;2 873;0;0;155;4 123;33 930;1 610;4 610;27 710;0;0;570;34 500
Bâtiment;Isolation des parois opaques;Maisons individuelles;2008;4 121;446;260;433;2 982;0;0;148;4 269;34 310;1 640;4 600;28 070;0;0;550;34 860
Bâtiment;Isolation des parois opaques;Maisons individuelles;2009;4 603;517;239;425;3 422;0;0;125;4 728;40 570;1 910;4 630;34 030;0;0;460;41 030
Bâtiment;Isolation des parois opaques;Maisons individuelles;2010;5 139;532;251;452;3 904;0;0;149;5 288;43 460;1 810;4 300;37 350;0;0;510;43 970
Bâtiment;Isolation des parois opaques;Maisons individuelles;2011;5 271;551;253;447;4 020;0;0;133;5 404;45 060;1 770;3 930;39 360;0;0;430;45 490
Bâtiment;Isolation des parois opaques;Maisons individuelles;2012;5 335;564;241;444;4 086;0;0;135;5 470;49 070;1 820;4 340;42 910;0;0;430;49 500
Bâtiment;Isolation des parois opaques;Maisons individuelles;2013;5 400;580;222;446;4 152;0;0;128;5 528;46 980;1 840;4 520;40 620;0;0;410;47 390
Bâtiment;Isolation des parois opaques;Maisons individuelles;2014;5 865;634;245;497;4 489;0;0;137;6 002;49 690;1 990;5 050;42 650;0;0;430;50 120
Bâtiment;Isolation des parois opaques;Maisons individuelles;2015;7 415;850;326;756;5 483;0;0;164;7 579;61 540;2 640;7 520;51 380;0;0;510;62 050
Bâtiment;Isolation des parois opaques;Maisons individuelles;2016;7 304;819;333;752;5 400;0;0;181;7 485;61 330;2 570;7 490;51 270;0;0;570;61 900
Bâtiment;Isolation des parois opaques;Maisons individuelles;2017;7 736;845;366;805;5 720;0;0;186;7 922;63 300;2 260;8 150;52 890;0;0;500;63 800
Bâtiment;Isolation des parois opaques;Maisons individuelles;2018;8 711;966;413;891;6 441;0;0;197;8 908;68 990;2 780;7 850;58 360;0;0;570;69 560
Bâtiment;Isolation des parois opaques;Maisons individuelles;2019;9 651;1 047;526;942;7 136;0;0;230;9 881;75 910;2 920;9 790;63 200;0;0;640;76 550
Bâtiment;Isolation des parois opaques;Maisons individuelles;2020;8 813;923;454;919;6 517;0;0;187;9 000;72 230;2 700;9 920;59 610;0;0;550;72 780
Bâtiment;Isolation des parois opaques;Maisons individuelles;2021;10 242;1 075;543;1 051;7 573;0;0;290;10 532;80 940;2 860;10 620;67 460;0;0;770;81 710
Bâtiment;Isolation des parois opaques;Maisons individuelles;2022;9 681;929;601;993;7 158;0;0;433;10 114;75 990;2 180;10 040;63 770;0;0;1 010;77 000
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2006;6 683;1 248;97;773;4 565;0;0;19;6 702;51 840;7 220;8 230;36 390;0;0;110;51 950
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2007;8 780;1 830;155;960;5 835;0;0;27;8 807;64 440;10 020;9 890;44 530;0;0;150;64 590
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2008;10 241;1 819;163;838;7 421;0;0;21;10 262;73 610;10 030;8 440;55 140;0;0;110;73 720
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2009;10 008;1 849;167;850;7 142;0;0;18;10 026;76 400;11 460;9 040;55 900;0;0;110;76 510
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2010;9 919;1 756;168;888;7 107;0;0;14;9 933;70 320;9 980;8 030;52 310;0;0;80;70 400
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2011;10 058;1 785;148;890;7 235;0;0;15;10 073;70 850;9 610;7 570;53 670;0;0;80;70 930
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2012;10 284;1 819;166;906;7 393;0;0;17;10 301;67 830;10 070;8 700;49 060;0;0;90;67 920
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2013;10 478;1 888;168;915;7 507;0;0;17;10 495;71 420;10 410;9 220;51 790;0;0;90;71 510
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2014;11 361;2 192;192;1 002;7 975;0;0;22;11 383;75 620;11 780;10 120;53 720;0;0;120;75 740
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2015;11 070;2 115;194;987;7 774;0;0;28;11 098;73 630;11 140;9 700;52 790;0;0;150;73 780
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2016;11 020;2 080;186;990;7 764;0;0;28;11 048;72 030;10 570;9 760;51 700;0;0;140;72 170
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2017;10 731;2 119;187;1 009;7 416;0;0;23;10 754;67 480;10 150;8 930;48 400;0;0;110;67 590
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2018;9 320;1 949;183;886;6 302;0;0;21;9 341;56 360;8 830;7 930;39 600;0;0;100;56 460
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2019;5 873;1 337;126;547;3 863;0;0;14;5 887;34 610;6 250;4 660;23 700;0;0;70;34 680
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2020;4 904;1 080;110;505;3 209;0;0;10;4 914;29 810;5 290;4 470;20 050;0;0;50;29 860
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2021;5 093;1 124;122;500;3 347;0;0;11;5 104;29 840;5 010;4 140;20 690;0;0;50;29 890
Bâtiment;Remplacement des ouvertures;Maisons individuelles;2022;5 710;1 255;130;557;3 768;0;0;15;5 725;32 990;5 080;4 610;23 300;0;0;50;33 040
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2006;164;14;22;14;114;0;0;5;169;1 720;80;170;1 470;0;0;30;1 750
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2007;191;18;21;18;134;0;0;5;196;2 050;100;230;1 720;0;0;30;2 080
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2008;204;23;22;19;140;0;0;6;210;2 070;110;230;1 730;0;0;30;2 100
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2009;201;28;21;18;134;0;0;5;206;1 960;150;200;1 610;0;0;30;1 990
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2010;212;24;22;20;146;0;0;5;217;2 100;140;190;1 770;0;0;30;2 130
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2011;247;30;27;25;165;0;0;6;253;2 310;170;230;1 910;0;0;30;2 340
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2012;258;25;29;28;176;0;0;5;263;2 340;130;210;2 000;0;0;30;2 370
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2013;265;34;34;27;170;0;0;7;272;2 410;180;250;1 980;0;0;40;2 450
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2014;272;33;34;27;178;0;0;6;278;2 390;180;270;1 940;0;0;30;2 420
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2015;287;37;31;28;191;0;0;5;292;2 440;200;260;1 980;0;0;30;2 470
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2016;298;27;27;29;215;0;0;7;305;2 640;150;260;2 230;0;0;40;2 680
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2017;288;11;38;27;212;0;0;16;304;2 530;60;260;2 210;0;0;80;2 610
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2018;284;6;47;27;204;0;0;25;309;2 410;30;260;2 120;0;0;120;2 530
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2019;278;5;52;27;194;0;0;22;300;2 300;30;250;2 020;0;0;120;2 420
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2020;267;5;42;26;194;0;0;23;290;2 300;30;250;2 020;0;0;120;2 420
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2021;305;6;52;30;217;0;0;26;331;2 560;40;260;2 260;0;0;170;2 730
Bâtiment;Ventilation mécanique contrôlée;En rénovation;2022;314;6;54;30;224;0;0;26;340;2 630;30;270;2 330;0;0;150;2 780
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2006;97;20;24;18;35;0;0;10;107;780;110;210;460;0;0;60;840
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2007;114;22;27;23;42;0;0;11;125;950;120;290;540;0;0;60;1 010
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2008;128;25;30;23;50;0;0;12;140;1 000;110;270;620;0;0;60;1 060
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2009;119;23;28;19;49;0;0;12;131;930;130;210;590;0;0;60;990
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2010;115;21;26;20;48;0;0;11;126;910;120;200;590;0;0;60;970
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2011;112;20;24;19;49;0;0;10;122;850;110;180;560;0;0;60;910
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2012;118;20;24;23;51;0;0;10;128;860;110;170;580;0;0;50;910
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2013;111;19;23;17;52;0;0;10;121;870;110;160;600;0;0;50;920
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2014;109;19;22;17;51;0;0;9;118;830;100;170;560;0;0;50;880
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2015;104;18;21;16;49;0;0;9;113;760;100;150;510;0;0;50;810
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2016;110;17;22;21;50;0;0;12;122;800;90;190;520;0;0;70;870
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2017;114;14;26;22;52;0;0;10;124;830;80;210;540;0;0;50;880
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2018;117;14;27;22;54;0;0;10;127;840;70;210;560;0;0;50;890
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2019;102;17;20;17;48;0;0;11;113;740;90;160;490;0;0;60;800
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2020;85;13;17;16;39;0;0;9;94;640;70;160;410;0;0;50;690
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2021;103;15;21;19;48;0;0;10;113;770;100;170;500;0;0;70;840
Bâtiment;Appareils de régulation du chauffage ;En rénovation;2022;105;15;23;19;48;0;0;10;115;750;80;170;500;0;0;60;810
Bâtiment;Diagnostics de performance énergétique;;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2007;27;0;0;0;0;27;0;0;27;300;0;0;0;300;0;0;300
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2008;69;0;0;0;0;69;0;0;69;760;0;0;0;760;0;0;760
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2009;121;0;0;0;0;121;0;0;121;1 330;0;0;0;1 330;0;0;1 330
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2010;154;0;0;0;0;154;0;0;154;1 850;0;0;0;1 850;0;0;1 850
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2011;161;0;0;0;0;161;0;0;161;1 610;0;0;0;1 610;0;0;1 610
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2012;144;0;0;0;0;144;0;0;144;1 410;0;0;0;1 410;0;0;1 410
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2013;141;0;0;0;0;141;0;0;141;1 360;0;0;0;1 360;0;0;1 360
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2014;135;0;0;0;0;135;0;0;135;1 330;0;0;0;1 330;0;0;1 330
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2015;164;0;0;0;0;164;0;0;164;1 600;0;0;0;1 600;0;0;1 600
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2016;179;0;0;0;0;179;0;0;179;1 810;0;0;0;1 810;0;0;1 810
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2017;204;0;0;0;0;204;0;0;204;2 000;0;0;0;2 000;0;0;2 000
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2018;257;0;0;0;0;257;0;0;257;2 160;0;0;0;2 160;0;0;2 160
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2019;321;0;0;0;0;321;0;0;321;2 960;0;0;0;2 960;0;0;2 960
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2020;266;0;0;0;0;266;0;0;266;2 660;0;0;0;2 660;0;0;2 660
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2021;309;0;0;0;0;309;0;0;309;2 790;0;0;0;2 790;0;0;2 790
Bâtiment;Diagnostics de performance énergétique;Dans le résidentiel;2022;444;0;0;0;0;444;0;0;444;4 020;0;0;0;4 020;0;0;4 020
Transport;Infrastructures ferroviaires;;2006;2 089;0;0;0;1 880;209;0;0;2 089;12 360;0;0;10 840;1 520;0;0;12 360
Transport;Infrastructures ferroviaires;;2007;2 279;0;0;0;2 051;228;0;0;2 279;12 960;0;0;11 340;1 620;0;0;12 960
Transport;Infrastructures ferroviaires;;2008;2 660;0;0;0;2 394;266;0;0;2 660;14 710;0;0;12 910;1 800;0;0;14 710
Transport;Infrastructures ferroviaires;;2009;2 994;0;0;0;2 695;299;0;0;2 994;17 610;0;0;15 480;2 130;0;0;17 610
Transport;Infrastructures ferroviaires;;2010;2 807;0;0;0;2 526;281;0;0;2 807;16 900;0;0;14 910;1 990;0;0;16 900
Transport;Infrastructures ferroviaires;;2011;4 001;0;0;0;3 601;400;0;0;4 001;21 900;0;0;19 120;2 780;0;0;21 900
Transport;Infrastructures ferroviaires;;2012;4 767;0;0;0;4 290;477;0;0;4 767;28 130;0;0;24 740;3 390;0;0;28 130
Transport;Infrastructures ferroviaires;;2013;6 956;0;0;0;6 260;696;0;0;6 956;42 020;0;0;37 070;4 950;0;0;42 020
Transport;Infrastructures ferroviaires;;2014;5 796;0;0;0;5 216;580;0;0;5 796;37 150;0;0;33 080;4 070;0;0;37 150
Transport;Infrastructures ferroviaires;;2015;5 300;0;0;0;4 770;530;0;0;5 300;34 040;0;0;30 300;3 740;0;0;34 040
Transport;Infrastructures ferroviaires;;2016;4 043;0;0;0;3 639;404;0;0;4 043;25 360;0;0;22 530;2 830;0;0;25 360
Transport;Infrastructures ferroviaires;;2017;3 702;0;0;0;3 332;370;0;0;3 702;22 170;0;0;19 580;2 590;0;0;22 170
Transport;Infrastructures ferroviaires;;2018;3 899;0;0;0;3 509;390;0;0;3 899;22 860;0;0;20 120;2 740;0;0;22 860
Transport;Infrastructures ferroviaires;;2019;4 383;0;0;0;3 945;438;0;0;4 383;25 210;0;0;22 210;3 000;0;0;25 210
Transport;Infrastructures ferroviaires;;2020;4 138;0;0;0;3 724;414;0;0;4 138;23 690;0;0;20 830;2 860;0;0;23 690
Transport;Infrastructures ferroviaires;;2021;4 568;0;0;0;4 111;457;0;0;4 568;26 020;0;0;22 840;3 180;0;0;26 020
Transport;Infrastructures ferroviaires;;2022;4 489;0;0;0;4 040;449;0;0;4 489;25 580;0;0;22 450;3 130;0;0;25 580
Transport;Equipements ferroviaires;;2006;3 230;2 776;454;0;0;0;0;882;4 112;9 600;9 600;0;0;0;0;3 050;12 650
Transport;Equipements ferroviaires;;2007;3 497;2 963;534;0;0;0;0;1 084;4 581;8 910;8 910;0;0;0;0;3 260;12 170
Transport;Equipements ferroviaires;;2008;4 397;3 836;561;0;0;0;0;867;5 264;10 160;10 160;0;0;0;0;2 300;12 460
Transport;Equipements ferroviaires;;2009;4 668;4 075;593;0;0;0;0;881;5 549;12 910;12 910;0;0;0;0;2 790;15 700
Transport;Equipements ferroviaires;;2010;4 701;4 185;516;0;0;0;0;972;5 673;12 780;12 780;0;0;0;0;2 970;15 750
Transport;Equipements ferroviaires;;2011;4 668;4 040;628;0;0;0;0;554;5 222;12 500;12 500;0;0;0;0;1 710;14 210
Transport;Equipements ferroviaires;;2012;4 615;3 864;751;0;0;0;0;1 007;5 622;12 580;12 580;0;0;0;0;3 280;15 860
Transport;Equipements ferroviaires;;2013;4 017;3 288;729;0;0;0;0;1 045;5 062;10 410;10 410;0;0;0;0;3 310;13 720
Transport;Equipements ferroviaires;;2014;4 280;3 527;753;0;0;0;0;694;4 974;11 500;11 500;0;0;0;0;2 260;13 760
Transport;Equipements ferroviaires;;2015;4 086;3 410;676;0;0;0;0;830;4 916;10 600;10 600;0;0;0;0;2 580;13 180
Transport;Equipements ferroviaires;;2016;3 989;3 259;730;0;0;0;0;977;4 966;9 840;9 840;0;0;0;0;2 950;12 790
Transport;Equipements ferroviaires;;2017;4 357;3 561;796;0;0;0;0;681;5 038;10 460;10 460;0;0;0;0;2 000;12 460
Transport;Equipements ferroviaires;;2018;3 685;2 810;875;0;0;0;0;1 030;4 715;8 250;8 250;0;0;0;0;3 020;11 270
Transport;Equipements ferroviaires;;2019;3 926;3 008;918;0;0;0;0;954;4 880;8 830;8 830;0;0;0;0;2 800;11 630
Transport;Equipements ferroviaires;;2020;3 583;2 738;845;0;0;0;0;800;4 383;8 040;8 040;0;0;0;0;2 350;10 390
Transport;Equipements ferroviaires;;2021;4 137;3 116;1 021;0;0;0;0;918;5 055;9 150;9 150;0;0;0;0;2 700;11 850
Transport;Equipements ferroviaires;;2022;4 583;3 469;1 114;0;0;0;0;911;5 494;10 190;10 190;0;0;0;0;2 670;12 860
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2006;2 214;0;0;0;1 993;221;0;0;2 214;12 990;0;0;11 370;1 620;0;0;12 990
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2007;2 337;0;0;0;2 103;234;0;0;2 337;13 160;0;0;11 500;1 660;0;0;13 160
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2008;2 037;0;0;0;1 833;204;0;0;2 037;11 160;0;0;9 780;1 380;0;0;11 160
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2009;1 976;0;0;0;1 778;198;0;0;1 976;11 520;0;0;10 120;1 400;0;0;11 520
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2010;2 296;0;0;0;2 066;230;0;0;2 296;13 710;0;0;12 080;1 630;0;0;13 710
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2011;3 059;0;0;0;2 753;306;0;0;3 059;16 670;0;0;14 540;2 130;0;0;16 670
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2012;3 276;0;0;0;2 948;328;0;0;3 276;19 330;0;0;17 000;2 330;0;0;19 330
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2013;3 512;0;0;0;3 161;351;0;0;3 512;21 290;0;0;18 790;2 500;0;0;21 290
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2014;3 329;0;0;0;2 996;333;0;0;3 329;21 170;0;0;18 830;2 340;0;0;21 170
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2015;3 497;0;0;0;3 147;350;0;0;3 497;22 460;0;0;19 990;2 470;0;0;22 460
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2016;4 572;0;0;0;4 115;457;0;0;4 572;28 680;0;0;25 480;3 200;0;0;28 680
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2017;5 633;0;0;0;5 070;563;0;0;5 633;33 740;0;0;29 790;3 950;0;0;33 740
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2018;6 386;0;0;0;5 747;639;0;0;6 386;37 440;0;0;32 950;4 490;0;0;37 440
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2019;7 146;0;0;0;6 431;715;0;0;7 146;41 090;0;0;36 200;4 890;0;0;41 090
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2020;6 651;0;0;0;5 986;665;0;0;6 651;38 520;0;0;33 930;4 590;0;0;38 520
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2021;6 476;0;0;0;5 828;648;0;0;6 476;37 110;0;0;32 600;4 510;0;0;37 110
Transport;Infrastructures des TCU;Transports collectifs urbains (TCU);2022;7 117;0;0;0;6 405;712;0;0;7 117;40 780;0;0;35 820;4 960;0;0;40 780
Transport;Equipements des transports collectifs routiers de voyageurs ;;2006;1 156;553;434;169;0;0;0;145;1 301;4 720;2 250;2 470;0;0;0;590;5 310
Transport;Equipements des transports collectifs routiers de voyageurs ;;2007;1 492;573;701;218;0;0;0;195;1 687;5 390;2 210;3 180;0;0;0;750;6 140
Transport;Equipements des transports collectifs routiers de voyageurs ;;2008;961;235;586;140;0;0;0;227;1 188;2 850;800;2 050;0;0;0;780;3 630
Transport;Equipements des transports collectifs routiers de voyageurs ;;2009;1 149;292;689;168;0;0;0;202;1 351;3 400;950;2 450;0;0;0;660;4 060
Transport;Equipements des transports collectifs routiers de voyageurs ;;2010;1 124;387;568;169;0;0;0;160;1 284;3 620;1 380;2 240;0;0;0;570;4 190
Transport;Equipements des transports collectifs routiers de voyageurs ;;2011;1 231;434;623;174;0;0;0;113;1 344;3 430;1 430;2 000;0;0;0;370;3 800
Transport;Equipements des transports collectifs routiers de voyageurs ;;2012;1 169;411;608;150;0;0;0;118;1 287;3 440;1 490;1 950;0;0;0;430;3 870
Transport;Equipements des transports collectifs routiers de voyageurs ;;2013;1 234;363;702;169;0;0;0;186;1 420;3 490;1 460;2 030;0;0;0;750;4 240
Transport;Equipements des transports collectifs routiers de voyageurs ;;2014;1 194;385;646;163;0;0;0;157;1 351;3 530;1 560;1 970;0;0;0;640;4 170
Transport;Equipements des transports collectifs routiers de voyageurs ;;2015;1 528;503;823;202;0;0;0;247;1 775;4 020;1 860;2 160;0;0;0;910;4 930
Transport;Equipements des transports collectifs routiers de voyageurs ;;2016;1 468;463;807;198;0;0;0;185;1 653;3 700;1 630;2 070;0;0;0;650;4 350
Transport;Equipements des transports collectifs routiers de voyageurs ;;2017;1 425;352;871;202;0;0;0;275;1 700;3 210;1 200;2 010;0;0;0;940;4 150
Transport;Equipements des transports collectifs routiers de voyageurs ;;2018;1 430;317;903;210;0;0;0;380;1 810;3 050;960;2 090;0;0;0;1 150;4 200
Transport;Equipements des transports collectifs routiers de voyageurs ;;2019;2 147;669;1 160;318;0;0;0;360;2 507;5 220;2 130;3 090;0;0;0;1 150;6 370
Transport;Equipements des transports collectifs routiers de voyageurs ;;2020;2 085;713;1 046;326;0;0;0;376;2 461;5 640;2 350;3 290;0;0;0;1 240;6 880
Transport;Equipements des transports collectifs routiers de voyageurs ;;2021;1 895;582;1 020;293;0;0;0;385;2 280;4 860;1 860;3 000;0;0;0;1 230;6 090
Transport;Equipements des transports collectifs routiers de voyageurs ;;2022;1 550;439;871;240;0;0;0;418;1 968;3 850;1 400;2 450;0;0;0;1 340;5 190
Transport;Vélos utilitaires;;2006;35;7;14;14;0;0;0;16;51;150;50;100;0;0;0;100;250
Transport;Vélos utilitaires;;2007;88;12;16;20;40;0;0;16;104;480;80;150;250;0;0;110;590
