Emploi dans les éco-activités ,Protection de la biodiversité et des paysages,"22635,00","24095,00","24518,00","24490,00","25204,00","25765,00","25473,00","25977,00","26421,00","26461,00","28719,00","29570,00","31007,00","33323,00"
Emploi dans les éco-activités ,R & D environnementale,"20594,00","23668,00","23531,00","27370,00","27833,00","28621,00","28362,00","27205,00","25269,00","24033,00","22214,00","23383,00","23323,00","27048,00"
Emploi dans les éco-activités ,Ingénierie environnementale,"10705,00","11244,00","11154,00","13305,00","13204,00","12694,00","12683,00","12467,00","10930,00","12097,00","11841,00","12536,00","12338,00","13653,00"
Emploi dans les éco-activités ,Protection de l'air extérieur,"8372,00","7188,00","6843,00","6362,00","6791,00","7204,00","7369,00","7994,00","7848,00","8237,00","9049,00","9342,00","11502,00","12464,00"
Emploi dans les éco-activités ,Gestion durable de la forêt,"11711,00","12282,00","11317,00","10607,00","10484,00","11347,00","10050,00","10138,00","9891,00","10642,00","11412,00","10288,00","10590,00","10484,00"
Emploi dans les éco-activités ,Lutte contre le bruit,"6873,00","6614,00","5523,00","5061,00","5656,00","5229,00","4955,00","4667,00","4790,00","4866,00","4591,00","4234,00","4389,00","5438,00"
Emploi dans les éco-activités ,Gestion des ressources en eau,"3953,00","4416,00","4528,00","4453,00","4434,00","4209,00","3952,00","4143,00","4094,00","3981,00","4621,00","4820,00","3955,00","4508,00"
Emploi dans les éco-activités ,Protection contre les radiations,"3546,00","3756,00","3621,00","4078,00","3707,00","3416,00","3575,00","3443,00","3452,00","3110,00","2797,00","3072,00","3275,00","3541,00"
Emploi dans les éco-activités ,Total général,"483281,00","515193,00","567175,00","569919,00","565869,00","569774,00","569289,00","577332,00","579211,00","599790,00","622177,00","646391,00","666845,00","745641,00"
Emploi dans les éco-activités ,Évolution annuelle en %,"0,05","0,07","0,10","0,01","-0,01","0,01","0,00","0,01","0,00","0,04","0,04","0,04","0,03","0,12"
"PIB réel (Dollars des É-U, PPA convertis, Millions, 2015)",Tout,"2605311,75","2532841,00","2583777,25","2644265,00","2647255,25","2667111,00","2693568,75","2722169,25","2745296,50","2804507,50","2853947,75","2909948,00","2696954,50","2876696,25"
"PIB réel par habitant (Dollars des É-U par personne, PPA convertis, 2015)",Tout,"40623,46","39294,00","39889,62","40626,43","40476,05","40573,09","40641,28","40927,15","41165,93","41931,35","42516,87","43206,40","39932,11","42467,44"
Taux de change nominal (Monnaie nationale par dollar des É-U),Tout,"0,68","0,72","0,75","0,72","0,78","0,75","0,75","0,90","0,90","0,89","0,85","0,89","0,88","0,85"
Parité de pouvoir d'achat (Monnaie nationale par dollar des É-U),Tout,"0,88","0,86","0,85","0,84","0,84","0,81","0,81","0,81","0,78","0,77","0,76","0,71","0,69","0,69"
Technologie et innovation: Brevets (Inventions pour 1 000 000 d'habitants),Tout,"19,96","22,69","23,94","26,34","27,54","26,42","25,67","24,82","21,84","23,42","26,05","27,50","26,34","15,48"
Technologie et innovation: Brevets (Pourcentage d'inventions résidentes),Tout,"11,28","12,91","13,35","14,13","15,03","14,38","13,89","13,69","12,44","13,18","14,65","15,64","16,23","9,23"
Technologie et innovation: Brevets (Pourcentage d'inventions liées à l'environnement dans le monde),Tout,"4,12","4,22","3,89","4,05","4,16","4,04","4,03","3,94","3,33","3,44","3,73","4,10","3,74","2,37"
"Budget public de RD-D consacré à l'énergie (Pourcentage du PIB, 2015)",Tout,"0,09","0,10","0,09","0,10","0,09","0,10","0,09","0,09","0,08","0,08","0,08","0,08","0,09","0,09"
Dépense nationale de protection de l'environnement (Pourcentage du PIB),Tout,"1,88","1,97","2,00","1,99","2,01","2,02","1,98","1,92","1,91","1,91","1,94","1,96","2,00","2,01"
Budget public de R-D consacré à l’environnement (Pourcentage des allocations gouvernementales pour la R&D),Tout,"2,29","2,10","2,57","1,51","1,77","1,93","1,72","3,32","1,70","1,82","1,77","1,45","1,84","2,89"
Budget public de RD-D consacré aux énergies renouvelables (Pourcentage du budget de RD&D dans l'énergie publique),Tout,"10,80","15,49","12,74","14,63","14,32","15,96","16,12","16,83","15,93","13,42","13,14","12,70","12,14","11,35"
Budget public de RD-D consacré aux combustibles fossiles (excluant CSC) (Pourcentage du budget de RD&D dans l'énergie publique),Tout,"9,73","8,36","8,90","4,71","5,28","5,45","5,91","6,14","4,27","3,10","2,04","1,03","1,18","0,89"
Croissance de la productivité multifactorielle corrigée des incidences environnementales (en %),Tout,"-0,26","-1,13","1,44","2,48","0,41","0,20",,,,,,,,
Contribution du capital naturel à la croissance (en %),Tout,"0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
Ajustement de la lutte contre la pollution (en %),Tout,"0,45","0,96","-0,08","1,06","0,16","0,06",,,,,,,,
Développement de technologies liées à l'environnement (indice),Tout,"1,03","1,05","1,02","1,07","1,15","1,16","1,13","1,15","1,02","1,08","1,21","1,36","1,36","0,84"
"PIB réel (indice, Millions, 2000)",Tout,"135,05","131,38","135,46","139,95","141,72","143,90","146,16","149,40","151,46","155,52","159,85","165,06","157,33","170,21"
Déflateur du PIB (Indice 2015),Tout,"94,45","94,51","95,53","96,43","97,55","98,31","98,87","100,00","100,53","101,04","102,05","103,35","106,29","107,81"
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch","1,58","1,37","1,67","1,73","1,71","1,52","1,64","1,69","1,51","1,62","1,73","1,59","1,65","1,66"
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),"20,74","20,01","19,59","19,75","19,54","19,67","19,43","19,36","19,06","18,91","18,92","19,12","18,34","18,23"
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,"77,67","78,62","78,74","78,51","78,75","78,81","78,93","78,96","79,43","79,47","79,35","79,29","80,01","80,11"
Population active en France,Tout,28828000,28961000,28961000,28985000,29229000,29375000,29396000,29494000,29550000,29587000,29700000,29626000,29626000,30093000
