27,28,29,30,31,32,33,34,35
Agriculture,Btp,Construction automobile,Energie,Industrie (Hors Automobile),Services Marchands,Services Publics,Transports,Total
"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"6,45","37,10","0,00","0,00","0,00","35,48","0,00","0,00","79,03"
"0,00","51,61","0,00","0,00","0,00","53,23","6,45","0,00","111,29"
"19,35","59,68","0,00","0,00","0,00","98,39","6,45","0,00","183,87"
"24,19","67,74","4,84","0,00","0,00","150,00","11,29","0,00","258,06"
"32,26","67,74","9,68","0,00","0,00","208,06","9,68","0,00","327,42"
"37,10","69,35","12,90","4,84","8,06","269,35","11,29","0,00","412,90"
"38,71","75,81","20,97","3,23","9,68","332,26","16,13","0,00","496,77"
"41,94","79,03","20,97","0,00","11,29","390,32","27,42","0,00","570,97"
"41,94","80,65","27,42","4,84","11,29","446,77","33,87","0,00","646,77"
"43,55","96,77","27,42","11,29","14,52","496,77","32,26","0,00","722,58"
"45,16","100,00","30,65","12,90","14,52","540,32","32,26","0,00","775,81"
"41,94","108,06","27,42","9,68","12,90","564,52","32,26","0,00","796,77"
"45,16","111,29","27,42","14,52","9,68","577,42","33,87","0,00","819,35"
"43,55","117,74","24,19","19,35","6,45","580,65","33,87","0,00","825,81"
"40,32","109,68","24,19","32,26","0,00","570,97","25,81","-3,23","800,00"
"38,71","112,90","22,58","35,48","-4,84","561,29","24,19","-8,06","782,26"
"38,71","111,29","25,81","37,10","-12,90","533,87","22,58","-8,06","748,39"
"35,48","109,68","20,97","46,77","-20,97","511,29","20,97","-6,45","717,74"
"32,26","114,52","22,58","51,61","-27,42","496,77","14,52","-4,84","700,00"
"30,65","111,29","24,19","51,61","-30,65","487,10","17,74","-9,68","682,26"
"25,81","104,84","25,81","51,61","-40,32","483,87","11,29","0,00","662,90"
"22,58","108,06","25,81","54,84","-41,94","482,26","11,29","0,00","662,90"
"19,35","103,23","32,26","59,68","-48,39","483,87","12,90","0,00","662,90"
"14,52","103,23","33,87","66,13","-58,06","491,94","11,29","0,00","662,90"
"11,29","100,00","33,87","74,19","-61,29","498,39","14,52","0,00","670,97"
"8,06","98,39","40,32","75,81","-77,42","511,29","14,52","0,00","670,97"
"4,84","96,77","40,32","75,81","-70,97","522,58","16,13","0,00","685,48"
"3,23","93,55","41,94","79,03","-72,58","535,48","9,68","0,00","690,32"
"0,00","90,32","48,39","77,42","-77,42","537,10","19,35","0,00","695,16"
