Mesure (Unité de mesure combinée),Domaine,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
Emploi dans les éco-activités ,R & D environnementale,20594.0,23668.0,23531.0,27370.0,27833.0,28621.0,28362.0,27205.0,25269.0,24033.0,22214.0,23383.0,23323.0,27048.0
Emploi dans les éco-activités ,Ingénierie environnementale,10705.0,11244.0,11154.0,13305.0,13204.0,12694.0,12683.0,12467.0,10930.0,12097.0,11841.0,12536.0,12338.0,13653.0
Emploi dans les éco-activités ,Protection de l'air extérieur,8372.0,7188.0,6843.0,6362.0,6791.0,7204.0,7369.0,7994.0,7848.0,8237.0,9049.0,9342.0,11502.0,12464.0
Emploi dans les éco-activités ,Gestion durable de la forêt,11711.0,12282.0,11317.0,10607.0,10484.0,11347.0,10050.0,10138.0,9891.0,10642.0,11412.0,10288.0,10590.0,10484.0
Emploi dans les éco-activités ,Lutte contre le bruit,6873.0,6614.0,5523.0,5061.0,5656.0,5229.0,4955.0,4667.0,4790.0,4866.0,4591.0,4234.0,4389.0,5438.0
Emploi dans les éco-activités ,Gestion des ressources en eau,3953.0,4416.0,4528.0,4453.0,4434.0,4209.0,3952.0,4143.0,4094.0,3981.0,4621.0,4820.0,3955.0,4508.0
Emploi dans les éco-activités ,Protection contre les radiations,3546.0,3756.0,3621.0,4078.0,3707.0,3416.0,3575.0,3443.0,3452.0,3110.0,2797.0,3072.0,3275.0,3541.0
Emploi dans les éco-activités ,Total général,483281.0,515193.0,567175.0,569919.0,565869.0,569774.0,569289.0,577332.0,579211.0,599790.0,622177.0,646391.0,666845.0,745641.0
Emploi dans les éco-activités ,Évolution annuelle en %,0.05,0.07,0.1,0.01,-0.01,0.01,0.0,0.01,0.0,0.04,0.04,0.04,0.03,0.12
Total,Tout,4019298.05,4233674.07,4538129.1,4571143.01,4572356.99,4636900.01,4637375.0,4679236.01,4713234.0,4831279.04,4977733.04,5135471.04,5193899.03,5740203.12
